HHID,Date,Purchase
295,86,0
295,243,1
298,177,0
333,190,0
333,196,0
333,205,0
441,41,0
617,210,0
807,69,0
822,63,0
822,86,0
822,155,0
822,157,0
822,204,0
822,233,1
822,243,0
839,49,1
839,197,0
880,204,1
901,95,1
901,113,0
901,222,0
908,40,0
1002,206,0
1002,237,0
1002,241,0
1002,245,0
1452,55,0
1452,91,0
1452,154,0
1452,215,0
1452,232,0
1802,96,0
1963,241,1
1963,243,0
2230,182,0
2230,190,0
2230,242,0
2640,237,0
2760,13,0
3242,78,0
3242,133,0
3524,190,0
3590,6,0
3590,7,0
3590,68,0
3590,116,0
3987,201,0
3987,202,0
3987,224,0
4046,97,0
4046,222,0
4273,144,0
4401,4,0
4557,10,0
4557,45,1
4557,56,0
4557,129,0
4557,156,1
4557,185,1
4571,128,0
4571,131,0
4638,228,0
4694,201,0
4769,33,0
4846,28,0
5019,222,0
5257,39,0
5257,56,0
5257,217,0
5279,8,0
5412,18,0
5412,42,1
5412,59,0
5412,60,0
5412,110,0
5412,115,0
5412,200,1
5412,210,0
5855,202,0
6060,139,0
6060,142,0
6060,151,0
6142,227,0
6157,242,0
6310,104,0
6338,116,0
6338,117,0
6338,118,0
6338,120,0
6338,135,0
6338,136,0
6338,138,0
6410,196,0
6410,197,0
6410,211,1
6410,212,0
6410,214,0
6459,180,0
6459,182,0
6612,71,0
6820,223,0
6820,233,0
7005,15,0
7005,17,0
7005,23,1
7005,32,0
7005,47,1
7005,74,1
7005,92,1
7346,104,1
7365,81,0
7389,186,0
7389,232,0
7971,26,0
7971,171,0
7971,213,0
7971,215,0
7971,236,0
7971,238,0
8396,224,0
8396,231,0
8403,20,0
8403,33,0
8440,99,0
8441,49,0
8540,177,0
8540,236,0
8550,81,0
8550,121,0
8550,184,0
8650,119,1
8836,53,0
8853,112,0
8923,103,0
8923,224,0
9331,74,0
9333,224,0
9488,75,0
9488,102,0
9488,109,0
9488,205,0
9583,104,1
9583,107,0
9583,110,0
9583,112,1
9792,8,0
9792,45,0
9792,74,0
9792,83,0
10145,17,0
10145,18,1
10145,20,0
10145,41,0
10145,115,1
10145,118,1
10145,120,1
10145,165,1
10145,166,0
10145,171,1
10145,178,0
10145,180,0
10145,215,1
10145,237,0
10174,174,0
10183,99,0
10183,101,0
10183,154,0
10183,185,0
10183,214,0
10183,215,0
10203,234,0
10203,241,1
10447,35,0
10447,59,0
10638,1,0
10638,11,0
10638,116,0
10638,128,0
10745,216,0
10754,200,0
11165,230,0
11374,235,0
11531,27,0
11786,77,0
11786,96,0
11786,106,1
11786,127,0
11786,198,1
11927,17,0
11927,75,0
11985,2,0
11985,4,0
12039,10,0
12222,197,0
12222,210,0
12222,231,0
12222,234,0
12223,241,0
12223,242,0
13236,99,0
13269,147,0
13286,86,1
13286,194,1
13286,198,0
13286,209,1
13286,234,1
13399,178,1
13822,194,0
13847,11,0
13871,36,0
14055,155,0
14085,197,0
14085,228,0
14115,38,1
14165,129,0
14165,141,0
14165,151,0
14348,5,0
14398,152,0
14398,162,0
14437,9,0
14437,48,0
14437,53,0
14437,77,0
14437,78,0
14437,88,0
14478,62,1
14598,237,0
14622,128,0
14622,242,0
14668,183,0
14708,145,0
14725,81,0
14725,87,0
14725,91,0
14725,93,0
14725,100,0
14725,114,0
14883,59,0
14936,124,0
14936,125,0
14936,129,0
14936,139,1
14960,52,0
15014,119,0
15014,151,0
15014,236,0
15015,158,0
15045,72,0
15077,122,0
15078,52,0
15078,112,0
15088,186,0
15096,53,1
15096,167,0
15096,186,0
15106,134,0
15188,37,0
15188,128,0
15196,13,0
15196,47,0
15196,65,0
15196,192,0
15286,67,0
15286,206,0
15286,207,0
15291,26,0
15291,196,1
15291,225,0
15291,243,0
15351,6,0
15383,201,0
15421,28,0
15514,18,0
15524,146,0
15547,126,1
15547,127,0
15548,172,0
15556,61,0
15561,51,0
15561,193,0
15561,200,0
15647,40,0
15647,94,0
15647,101,0
15648,119,0
15786,181,0
15786,182,1
15790,1,0
15790,24,0
15790,207,0
15790,218,0
15790,241,0
15825,16,0
15825,231,0
15825,233,0
15866,217,0
15964,187,0
16029,14,0
16029,20,0
16029,43,0
16029,44,0
16029,45,0
16029,57,0
16029,86,0
16042,33,0
16042,34,0
16042,157,0
16042,169,0
16042,171,0
16042,178,0
16042,183,1
16042,200,1
16042,220,0
16113,49,1
16113,54,0
16120,50,1
16120,64,1
16120,123,0
16120,136,1
16120,142,0
16120,162,0
16120,197,0
16120,204,1
16120,207,0
16120,230,0
16135,57,0
16221,50,1
16304,3,0
16304,31,0
16304,32,0
16304,111,0
16304,120,0
16304,126,0
16304,132,0
16338,16,0
16338,114,0
16338,173,1
16390,71,0
16390,95,1
16390,101,0
16390,103,0
16390,173,0
16390,194,1
16542,27,0
16689,99,0
16727,128,0
16766,216,1
16766,224,0
16766,225,0
16766,226,1
16766,227,1
16766,231,0
16799,128,0
16898,157,0
17338,1,0
17338,4,0
17338,7,1
17338,8,0
17338,11,1
17338,17,0
17338,22,0
17338,26,1
17338,33,0
17338,37,0
17338,45,0
17338,52,0
17338,61,0
17338,63,0
17338,65,0
17338,71,0
17338,81,0
17338,86,0
17338,97,0
17338,111,0
17338,115,1
17338,127,1
17338,135,1
17338,150,0
17338,167,0
17338,180,0
17338,238,0
17374,243,0
17415,103,0
17415,220,0
17426,3,0
17472,2,0
17540,69,0
17541,4,0
17541,121,0
17541,225,0
17541,228,0
17541,230,0
17541,233,0
17615,11,0
17615,28,0
17688,156,0
17703,26,0
17703,237,0
17752,43,0
17752,95,0
17752,96,1
17763,133,0
17763,176,0
17789,37,0
17803,134,0
17827,119,0
17953,100,0
17953,236,0
18016,56,0
18030,148,0
18098,148,0
18098,235,0
18103,155,0
18132,101,1
18132,103,0
18132,105,0
18132,111,0
18132,161,1
18132,173,0
18132,175,1
18132,179,1
18132,203,0
18132,207,1
18132,219,1
18132,229,1
18137,64,0
18137,70,0
18137,74,0
18137,89,0
18137,100,0
18137,206,0
18225,3,0
18225,10,0
18225,180,0
18241,91,0
18241,96,0
18241,156,0
18326,190,0
18329,95,0
18329,115,0
18339,119,0
18629,123,0
18629,141,0
18629,232,0
18630,245,0
18700,25,0
18700,83,0
18700,147,0
18737,11,0
18751,5,0
18751,75,0
18751,192,0
18768,30,0
18768,59,0
18827,20,0
18837,25,0
18837,179,0
18851,190,0
18851,191,0
18859,107,0
18859,108,0
18859,111,0
18859,122,0
19081,97,0
19197,119,0
19197,139,0
19314,230,0
19342,11,0
19350,229,0
